Unique ID;Author's Sample Name;Latitude;Longitude;pH;Referenced Data;Ia;Ib;Ic;IIa_5me;IIa_6me;IIb_5me;IIb_6me;IIc_5me;IIc_6me;IIIa_5me;IIIa_6me;IIIb_5me;IIIb_6me;IIIc_5me;IIIc_6me;Sample type
Lake-121;Robe Lake;61.087;-146.143;7;Martínez-Sosa et al., 2020;0.13611406;0.01916772;0.00232661;0.22520655;0.1007761;0.00265947;0.04581584;0.0000366;0.00180031;0.37313794;0.08340183;0.00361691;0.00594009;0;0;Lake
Lake-122;Arolik Lake slime;59.4632694;-161.1042;NA;Martínez-Sosa et al., 2020;0.16921117;0.01726948;0.00473821;0.24423803;0.13129091;0.02356678;0.01676034;0.00373453;0.00106701;0.22769207;0.15500873;0.0015859;0.00383685;0;0;Lake
Lake-123;Emerald Lake;59.63;-151.074;NA;Martínez-Sosa et al., 2020;0.15497521;0.01834664;0.01348385;0.17219763;0.10987225;0.05028015;0.02729193;0.01749892;0.0003106;0.25961346;0.14667915;0.01621865;0.01323158;0;0;Lake
Lake-124;High Lake;59.965;-159.486;NA;Martínez-Sosa et al., 2020;0.19453305;0.01646918;0.01052173;0.19054333;0.08772067;0.03504783;0.01527804;0.01391588;0.00051121;0.3286646;0.08799989;0.00995;0.0088446;0;0;Lake
Lake-125;Ptarmigan Lake;61.15;-145.72;NA;Martínez-Sosa et al., 2020;0.1442031;0.01268257;0.00308695;0.22620498;0.09667092;0.01405309;0.00985979;0.00304248;0.00030928;0.39523246;0.0891677;0.00448232;0.00100435;0;0;Lake
Lake-126;Greyling lake;61.382;-145.738;NA;Martínez-Sosa et al., 2020;0.07605028;0.00893502;0.00308519;0.12659587;0.09828888;0.0241072;0.01529966;0.00612059;0.00267966;0.40518909;0.19213636;0.03087251;0.01063971;0;0;Lake
Lake-127;Mica Lake;60.92;-147.869;6;Martínez-Sosa et al., 2020;0.2435061;0.01265696;0.00107831;0.31602065;0.05591384;0.01165783;0.00637938;0.00212835;0.00000943;0.32082781;0.02615282;0.00239981;0.00126871;0;0;Lake
Lake-128;Shainin Pond;68.331;-151.091;NA;Martínez-Sosa et al., 2020;0.09134704;0.01945133;0.0033743;0.15043983;0.11412119;0.04779702;0.02646532;0.00314612;0.00086262;0.3546444;0.16948386;0.01062863;0.00823835;0;0;Lake
Lake-129;Cascade Lake 2012;68.378;-154.602;NA;Martínez-Sosa et al., 2020;0.16362991;0.02089715;0.00748155;0.11340939;0.02521847;0.01096545;0.00383267;0.01219492;0.00163343;0.50078253;0.12649128;0.01086007;0.00260321;0;0;Lake
Lake-130;Shainin Lake;68.34;-151.061;NA;Martínez-Sosa et al., 2020;0.08881712;0.01883811;0.00308111;0.14301497;0.14219999;0.02855829;0.04598637;0.00479534;0.00473419;0.24182461;0.23823633;0.01699746;0.02291611;0;0;Lake
Lake-131;Upper Kurupa;68.2173111;-154.49536;NA;Martínez-Sosa et al., 2020;0.15915146;0.00930543;0.00260447;0.2159301;0.15734348;0.01225393;0.01582316;0.0037375;0.00144714;0.28152806;0.11744997;0.01809857;0.00532674;0;0;Lake
Lake-132;Kurupa Lake;68.35;-154.61;NA;Martínez-Sosa et al., 2020;0.0934319;0.01428987;0.00165451;0.18663151;0.14540877;0.01848152;0.02167769;0.00271596;0.00165312;0.34837563;0.15364415;0.00686317;0.0051722;0;0;Lake
